#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:46:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:46:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:46:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:46:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:46:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:46:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:47:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:47:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:47:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:47:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:47:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:47:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:48:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:48:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:48:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:48:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:48:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:48:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:49:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:49:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:49:20Z,0,usage_guest,cpu,cpu-total,MyLord
